"HALTESTELLEN_ID";"TYP";"DIVA";"NAME";"GEMEINDE";"GEMEINDE_ID";"WGS84_LAT";"WGS84_LON";"STAND"
214461656;"stop";60201621;"Jedlersdorfer Str./Hanreiterg.";"Wien";90000;48.2850529000384;16.4096207330265;""
214461657;"stop";60201622;"Marchfeldkanal";"Wien";90000;48.2900432121217;16.4109485335726;""
214461658;"stop";60201623;"Kummergasse";"Wien";90000;48.2942414038387;16.4133401006731;""
214461659;"stop";60201624;"Josef-Flandorfer-Straße";"Wien";90000;48.298799321227;16.4156517502761;""
214461660;"stop";60201625;"Birostr./Jochen-Rindt-Str.";"Wien";90000;48.1368312518386;16.3510170676453;""
214461661;"stop";60201626;"Birostraße";"Wien";90000;48.1376402927371;16.3535701393569;""
214461662;"stop";60201627;"Jedlersdorfer Platz";"Wien";90000;48.2812853922177;16.4086721753672;""
214461663;"stop";60201628;"Dattlergasse";"Wien";90000;48.2958595201041;16.4142859621086;""
214461664;"stop";60201629;"Steinergasse";"Wien";90000;48.142227504584;16.2889119526472;""
214461665;"stop";60201630;"Trondheimgasse";"Wien";90000;48.2179279216725;16.4771863370956;""
214461666;"stop";60201631;"Aspern, Oberdorfstraße";"Wien";90000;48.2174569094173;16.479903329803;""
214461667;"stop";60201632;"Magdalenenstraße";"Wien";90000;48.19480173284;16.3527959204528;""
214461668;"stop";60201633;"Stavangergasse";"Wien";90000;48.2131182455168;16.4758006424779;""
214461669;"stop";60201634;"Seidelbastgasse";"Wien";90000;48.214247939494;16.4711613869011;""
214461670;"stop";60201635;"Heustadelgasse/Schule";"Wien";90000;48.2148974337088;16.4841617775078;""
214461671;"stop";60201636;"Hoechlegasse";"Wien";90000;48.2136946437545;16.4892715444852;""
214461672;"stop";60201637;"Jägermaiszufahrt";"Wien";90000;48.2122654037911;16.4953895374311;""
214461673;"stop";60201638;"Heustadelgasse";"Wien";90000;48.2106980601415;16.4972011152319;""
214461674;"stop";60201639;"Auspitzgasse";"Wien";90000;48.2097494951724;16.5002254809872;""
214461675;"stop";60201640;"Mühlau";"Wien";90000;48.2093314091047;16.503278370557;""
214461676;"stop";60201641;"Leidlweg";"Wien";90000;48.2082558420427;16.5069344824315;""
214461677;"stop";60201642;"Dumreichergasse";"Wien";90000;48.2072252266573;16.5105233230681;""
214461678;"stop";60201643;"Arztgasse";"Wien";90000;48.2087810872575;16.5105016961654;""
214461679;"stop";60201644;"Haengasse";"Wien";90000;48.2093171969609;16.5068303738838;""
214461680;"stop";60201645;"Ultzmanngasse";"Wien";90000;48.2060707144208;16.5184975566613;""
214461681;"stop";60201646;"Goldregengasse";"Wien";90000;48.2211113700389;16.4844488489209;""
214461682;"stop";60201647;"Pilotengasse";"Wien";90000;48.2204680391783;16.4881343876682;""
214461683;"stop";60201648;"Reglergasse";"Wien";90000;48.2234443853271;16.488439285357;""
214461684;"stop";60201649;"Kornblumenweg";"Wien";90000;48.2291681191471;16.492117371137;""
214461685;"stop";60201650;"Aurikelweg";"Wien";90000;48.2208751017395;16.4863322528657;""
214461686;"stop";60201651;"Benjowskigasse";"Wien";90000;48.2163648230961;16.4829952851724;""
